Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Raghav Productivity Enhancers Ltd,RPEL,"Commodity Chemicals","2617.514504","0","0","0.0402089523626953","62.917943936634636","0","0","0","0","0","0","0.0402089523626953","0","0","7.698282547510956"
Sanstar Ltd,SANSTAR,"Agro Products","2607.00399625","11.447365829100233","2.0217098756202185","3.2856092853409637","70.3699019310623",,"2.0217098756202185",,"-29.417095400619132",,"11.234363160781665","3.2856092853409637",,"1.3837764428781703","14.780919562619946"
DISA India Ltd,DISAQ,"Industrial Machinery","2603.04149205","8.013725712674622","8.013725712674622","0.015472371501954678","74.82136287524798","-0.0059826503140900655","-0.0059826503140900655","0","0","-0.0059826503140900655","-0.0059826503140900655","0","0","0","14.70727992270691"
Mold-Tek Packaging Ltd,MOLDTKPAC,"Plastic Products","2602.65468905","22.75963337230943","21.162048810863936","14.44349038912316","32.761121835038004","0.2667375767983273","3.2569278676123794","0.30284468520397567","-0.10148908801711798","0.502150025125708","3.535522388753357","-1.5855583885119273","0","0.2717362354965919","21.82299728483453"
Spectrum Electrical Industries Ltd,SPECTRUM,"Electrical Components & Equipments","2600.057894","0.3123680445247809","0","2.5133613428686212","72.53352590155825",,"0",,"-2.34828501707581",,"0.3123680445247809","1.9577999083560866",,"0","5.407971888798258"
John Cockerill India Ltd,COCKERILL,"Industrial Machinery & Supplies & Components","2598.3512677950002","0.07958989131423162","0","0.02235807633865438","74.99676476205154","0","0","0.0022884625237934303","0","0","0.07958989131423162","0.020332888264500904","0","0","15.438393475006041"
Vishnu Chemicals Ltd,VISHNU,"Diversified Chemicals","2583.0820269","6.740398394895432","4.662389409465796","0.47524390445829395","68.36479113748116","0.10701511029123179","-0.02941374188228174","0.2625596899119518","0","-0.6226025698185316","-0.35264595104368546","0.1459394072949406","0","2.078008985429637","17.044590417764717"
Tarsons Products Ltd,TARSONS,"Health Care Equipment & Supplies","2581.56875412","0.11706512620192341","0.05081918805789114","7.953108017453804","47.30636031486583","0.006824382256673797","-2.0957469288259407","-0.20831938996074584","0","-0.059947809545267766","-2.4816468566934797","1.1277766247184235","0","0","13.526310925584143"
Nippon India ETF Nifty 1D Rate Liquid BeES,LIQUIDBEES,"Debt","2580.8388",,,,,,,,,,,,,,
Lumax Industries Ltd,LUMAXIND,"Auto Parts","2576.5153711599996","1.576927964986587","1.5731837412540282","1.1732578554883688","74.99998930221791","0.11175972952583568","0.15589877844165834","0.08144221507420202","0","0.11175972952583568","0.15589877844165834","0.04935956657721907","0","0","14.80382621153452"
Rashi Peripherals Ltd,RPTECH,"Technology Hardware","2576.01790485","16.180775729284814","6.956786502632449","1.388738470825307","63.405474064246","2.7083840259279013","6.956786502632449","-0.24050653368268238","-26.245083390985947","1.7720909506899591","5.831333184516758","1.388738470825307","0","0.6390791212671567","11.445511900553667"
ESAF Small Finance Bank Limited,ESAFSFB,"Private Banks","2568.236711562","8.902406395240119","0.026078137657048733","0.11945203186252093","63.393474691855566","0.006524536552477155","0.026078137657048733","-0.6922761146571511","0.003496640305613141","-1.3590570592993156","-2.0826586031654717","-1.0370427119547478","0","8.871471812714164","9.70453237896499"
Jubilant Industries Ltd,JUBLINDS,"Diversified Chemicals","2565.399951765","0.019306965553625745","0.0005309581451667444","0.31092908980964556","74.77640854733767","0","0","-0.2173211688167484","0","0","0","0.1739418883566255","0","0.016592442036460764","12.066256143102777"
Federal-Mogul Goetze (India) Ltd,FMGOETZE,"Auto Parts","2552.9584457","0.010082303158264836","0.0033919247744064445","0.5329779751377486","74.98446311510992","-0.6093115615023189","-1.1303126448690712","0.0849832641676671","0","-0.6106812735733829","-1.131682356940135","0.08364590749985656","0","0","11.68012801235545"
Apollo Pipes Ltd,APOLLOPIPE,"Building Products - Pipes","2549.0190616200002","17.188239286695207","14.556868940221952","4.137408354747634","45.89728786687059","0.6802282416216894","0.7309852983390748","-0.10218015552520221","-4.905944805374865","2.5082180452238028","2.489279969812051","0.9088832600611383","-4.8736709210868625","0","13.64119870174032"
Dish TV India Ltd,DISHTV,"Cable & D2H","2540.93349252","2.785269713211234","1.7188807179948737","11.30184475136315","4.039903293108016","0.01687815132755266","0.09870679840236951","-1.0848919612083474","0","0.01698666420315975","-0.140265926301963","-5.151077094512727","0","0","24.56579922447879"
Veritas (India) Ltd,VERITAS,"Commodities Trading","2527.3787","0","0","9.706191719507647","55.00619544945916","0","0","-0.0000037299515103228487","0","0","0","-0.021521820216337417","0","0","5.738780305856024"
Landmark Cars Ltd,LANDMARK,"Retail - Speciality","2524.28532825","16.60738003397786","7.89227648522476","9.738601313284734","51.55153385530154","-0.05307888759351087","0.041195366500065944","0.995995191543189","-0.27070964696473254","0.7507934831679748","1.4147891217491075","1.341362577379675","-0.04198201006366986","4.747766043965058","10.153207679935422"
