Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
SRU Steels Ltd,SRUSTEELS,"Iron & Steel","85.53330975","4.06","0.04","0","0","19.79",,"19.3","0","6.51","13.29","0","-0.3","6.500000000000002"
Atal Realtech Ltd,ATALREAL,"Construction & Engineering","85.48155","19.31","0.22","0","9.21","57.56",,"47.510000000000005","0","17.650000000000002","37.71","1.6400000000000006","1.26","19.849999999999998"
Kanishk Steel Industries Ltd,KANSHST,"Iron & Steel","85.39353022200001","59.160000000000004","5.47","16.57","54.46","192.02999999999997",,"114.75999999999999","0","69.21","97.5","21.91","33.46","94.52999999999997"
Raj Oil Mills Ltd,ROML,"Packaged Foods & Meats","85.315589328","-145.66","0.38","0.02","31.83","45.110000000000014",,"24.180000000000003","0","47.779999999999994","-5.180000000000007","1.4700000000000002","0.75","50.29000000000002"
Simran Farms Ltd,SIMRAN,"Packaged Foods & Meats","85.123665","25.62","12.18","0.12","35.3","139.17000000000002",,"112.09","0","106.36","31.52","0.3299999999999963","8.18","107.65000000000002"
Agni Green Power Ltd,AGNI,"Renewable Energy","85.074054","10.92","2.68","0","9.67","44.83",,"30.79","0","12.09","30.450000000000003","2.2500000000000004","-1.4","14.379999999999992"
Royale Manor Hotels and Industries Ltd,RAYALEMA,"Hotels, Resorts & Cruise Lines","85.0404736","35.55","4","2.85","8.600000000000001","71.25",,"17.66","0","8.57","58.239999999999995","3.8","2.26","13.010000000000009"
Nimbus Projects Ltd,NIMBSPROJ,"Real Estate","84.948244","-26.53","1.02","86.68","6.859999999999999","127.11",,"17.709999999999997","0","4.15","-15.690000000000001","6.48","10.94","142.8"
Biogen Pharmachem Industries Ltd,BIOGEN,"Independent Power Producers & Energy Traders","84.83839","-8.74","0.02","5.44","0","56.83",,"0.1","0","0.3","56.52","0","1.94","0.309999999999998"
Skyline Millars Ltd,SKYLMILAR,"Real Estate","84.83294325","7.8100000000000005","6.86","0","0","27.229999999999997",,"23.56","0","1.43","24.770000000000003","0","-1.26","2.4599999999999946"
Pentagon Rubber Ltd,PENTAGON,"Auto Parts","84.81","3.24","0.83","0","16.75","32.44",,"29.449999999999996","0","15.67","8.64","8.07","1.96","23.799999999999997"
Supra Pacific Financial Services Ltd,SUPRAPFSL,,"84.7975908","0.7000000000000002","4.35","0","58.29","80.55000000000001",,"7.4399999999999995","0","6.930000000000001","21.4","52.22","-24.95","59.15000000000001"
Superior Industrial Enterprises Ltd,SIEL,"Packaging","84.74815","71.53","3.79","100.43","11.620000000000001","123.01",,"15.6","0","9.18","108.01","5.6499999999999995","3.41","15.000000000000004"
Share Samadhan Ltd,SSL,,"84.700521009","2.27","4.82","0.01","0.9299999999999999","14.23",,"11.05","0","1.8399999999999999","11.79","0.22999999999999998","0.29","2.4400000000000013"
Rex Pipes and Cables Industries Ltd,REXPIPES,"Building Products - Pipes","84.672","15.62","3.36","0.2","28.37","70.22",,"57.83","0","37.3","31.4","1.4300000000000004","2.5","38.82"
Real Eco Energy Ltd,REALECO,"Real Estate Development","84.46","-17.91","0.1","0","4.8500000000000005","16.9",,"15.5","0","6.49","5.57","4.8500000000000005","0.04","11.329999999999998"
Balkrishna Paper Mills Ltd,BALKRISHNA,"Paper Products","84.352556648","-161.2","0.44","0","95.03","134.8",,"13.579999999999998","0","85.85","-16.5","30.470000000000006","-19.56","151.3"
Polylink Polymers (India) Ltd,POLYLINK,"Commodity Chemicals","84.244815","16.76","0.01","0","1.9000000000000001","35.650000000000006",,"19.19","0","6.369999999999999","27.82","0.5900000000000001","-2.14","7.830000000000009"
AIK Pipes and Polymers Ltd,AIKPIPES,"Building Products","83.9916","3.210000000000001","0.49","0.02","5.1","32.38",,"27.73","0","9.1","21.92","1.3599999999999994","-10.44","10.459999999999999"
Jet Freight Logistics Ltd,JETFREIGHT,"Logistics","83.99084904","11.54","13.41","0","55.88999999999999","170.47",,"94.39","0","93.38","60.62","15.689999999999998","15.01","109.85"
Evans Electric Ltd,EVANS,"Business Support Services","83.9664","15.200000000000001","2.46","11.89","0.4","24.68",,"10.969999999999999","0.55","5.1000000000000005","19.5","0","3.57","5.179999999999999"
Kabsons Industries Ltd,KABSON,"Gas Distribution","83.892252","-10.309999999999999","2.04","3.01","0.35","17.939999999999998",,"6.63","0","5.22","11.870000000000001","0.35","1.45","6.069999999999995"
Malu Paper Mills Ltd,MALUPAPER,"Paper Products","83.88033225","-25.060000000000002","1.98","0.11","131.65","167.39999999999998",,"86.11","0","146.92","6.799999999999997","12.480000000000011","9.28","160.6"
Elixir Capital Ltd,ELIXIR,"Diversified Financials","83.798208","34.82","9.62","12.24","23.6","96.4",,"70.92","0.99","28.14","68.21000000000001","0","-17.02","28.189999999999998"
Bang Overseas Ltd,BANG,"Apparel & Accessories","83.65164","15.659999999999997","3.8","0.5","30.27","158.85999999999999",,"133.85","0","62.64","89.31","5.81","-13.09","69.54999999999997"
Pioneer Investcorp Ltd,PIONRINV,"Investment Banking & Brokerage","83.50830222799999","123.9","6.47","118.96","108.41","405.67999999999995",,"232.95","0","229.92999999999998","147.91","27.840000000000003","-23.21","257.77"
Ashnoor Textile Mills Ltd,ASHNOOR,"Textiles","83.453445018","48.92","29.87","1.08","75.64","156.23000000000002",,"113.82000000000001","0","68.38","64.07000000000001","19.019999999999996","10.5","92.16000000000001"
Pattech Fitwell Tube Components Ltd,PATTECH,"Construction & Engineering","82.652827485","1.9299999999999997","0.19","0","11.67","35.65",,"20.12","0","9.47","19.29","6.8999999999999995","0.06","16.360000000000003"
Sam Industries Ltd,SAMINDUS,"Real Estate","82.6091015","51.06","2.74","10.76","26.72","101.24000000000001",,"8.73","0","12.799999999999999","67.8","16.58","2.03","33.44000000000002"
Valencia Nutrition Ltd,VALENCIA,"Soft Drinks & Non-alcoholic Beverages","82.31094769500001","-19.06","0.22","0","5.34","6",,"3.37","0","2.71","-2.0500000000000007","5.34","-1.55","8.05"
AD- Manum Finance Ltd,ADMANUM,"Specialized Finance","82.17","45.61","0.25","3.96","7.19","71.1",,"4.1899999999999995","0","1.8","62.11","7.19","-1.81","8.99"
Nhc Foods Ltd,NHCFOODS,"Packaged Foods & Meats","82.0366","14.18","1.3","5.78","36.68","97.37",,"77.60000000000001","0","61.72","27.78","6.289999999999999","-1.65","69.59"
Rapicut Carbides Ltd,RAPICUT,"Industrial Machinery","81.992054925","14.780000000000001","0.32","0.13","3.42","34.12",,"28.749999999999996","0","11.63","21.42","0.009999999999999998","-0.29","12.699999999999994"
Lexus Granito (India) Ltd,LEXUS,"Building Products - Ceramics","81.752241476","-45.08","0.07","0.01","58.029999999999994","120.71000000000001",,"68.82000000000001","0","62.269999999999996","9.320000000000007","31.04","11.19","111.39"
Vista Pharmaceuticals Ltd,VISTAPH,"Pharmaceuticals","81.61782868200001","-9.670000000000002","0.09","0.02","7.96","57.980000000000004",,"23.39","0","14.490000000000002","40.46","2.9299999999999997","-4.91","17.520000000000007"
Alfa Transformers Ltd,ALFATRAN,"Heavy Electrical Equipments","81.578000175","-3.2299999999999986","2.91","0","9.34","40.1",,"17.68","0","12.66","22.03","4.78","-0.08","18.07"
Alkosign Ltd,ALKOSIGN,"Office Services & Supplies","81.3035","-0.7600000000000016","6.56","0.1","13.850000000000001","49.83",,"31.549999999999997","0","14.3","29.22","6.32","-0.81","20.609999999999996"
Shri Vasuprada Plantations Ltd,VASUPRADA,"Packaged Foods & Meats","81.1871396","67.63","0.75","7.94","55.160000000000004","214",,"27.28","0","41.1","123.50999999999999","26.520000000000003","-8.75","90.49000000000001"
Universal Starch Chem Allied Ltd,UNIVSTAR,"Packaged Foods & Meats","80.913","60.769999999999996","7.06","0.36","72.27000000000001","223.98000000000002",,"110.17","0","116.38000000000001","66.57","29.85","19.01","157.41000000000003"
Thinkink Picturez Ltd,THINKINK,"Movies & Entertainment","80.88444","10.84","1.15","25.15","0.5","91.32",,"65.5","0","12.64","78.19","0.5","-14.14","13.129999999999995"
Manugraph India Ltd,MANUGRAPH,"Industrial Machinery","80.843232138","52.17999999999999","0.44","0","17.64","151.07000000000002",,"52.940000000000005","0.06","49.75","79.71","0","-6.5","71.36000000000001"
Innovative Tech Pack Ltd,INNOVTEC,"Packaging","80.82907","29.61","3.52","0","37.559999999999995","106.40999999999998",,"48.94","0","44.910000000000004","33.86","27.339999999999996","6.6","72.54999999999998"
Shiva Mills Ltd,SHIVAMILLS,"Textiles","80.826830224","87.54","0.63","0.6","10.3","122.85",,"55.75","0","24.62","96.18","0","-17.31","26.66999999999998"
Eiko Lifesciences Ltd,EIKO,,"80.52918545","3.4000000000000057","13.35","4.02","0","52.75",,"30.94","0","1.5","50.68","0","-7.08","2.069999999999998"
Rajgor Castor Derivatives Ltd,RCDL,"Commodity Chemicals","80.47684197999999","13.349999999999994","0.83","1.18","47.45000000000001","187.82999999999998",,"164.47","0","109.6","74.22","2.260000000000005","-34.45","113.60999999999999"
Assam Entrade Ltd,ASSAMENT,"Diversified Financial Services","80.4554652","54.56","0.56","17.84","0","65.91999999999999",,"4.11","0","0.93","64.99000000000001","0","2.03","0.9299999999999716"
Austin Engineering Company Ltd,AUSTENG,"Industrial Machinery","80.424125","48.6","22.5","0","1.3399999999999999","94.38",,"78.19","0","23.95","60.760000000000005","0.21","14.88","33.61999999999999"
Dev Labtech Venture Ltd,DEVLAB,"Apparel, Accessories & Luxury Goods","80.308676166","2.629999999999999","0.17","0","1.1","28.65",,"23.62","0","1.69","25.779999999999998","1.07","-9.28","2.870000000000002"
Ameya Precision Engineers Ltd,AMEYA,"Industrial Machinery","79.5","12.18","4.28","1.9","0.06","27.39",,"20.9","0","4.3999999999999995","22.990000000000002","0","6.18","4.3999999999999995"
M V K Agro Food Product Ltd,MVKAGRO,"Agro Products","79.38625","12.199999999999996","54.45","14.36","147.47","282.19",,"191.22","0","156.75","80.44999999999999","43.330000000000005","-30.8","201.74"
Riddhi Steel and Tube Ltd,RSTL,"Steel","79.279679876","41.06","12.06","0","132.17000000000002","196.59000000000003",,"172.90000000000003","0","98.33","57.25","40.35000000000001","8.91","139.34000000000003"
Landmarc Leisure Corporation Ltd,LANDMARC,"Hotels, Resorts & Cruise Lines","79.2","-60.440000000000005","0.26","0","12.32","42.6",,"11.290000000000001","0","6.11","25.259999999999998","8.64","-1.11","17.340000000000007"
Omfurn India Ltd,OMFURN,"Home Furnishing","79.065096","20.79","21.84","1.17","15.35","84.30000000000001",,"66.31","0","30.309999999999995","52.34","0.9100000000000001","5.34","31.960000000000008"
Milgrey Finance and Investments Ltd,ZMILGFIN,"Investment Banking & Brokerage","78.92714","-1.200000000000001","0.16","0","28.06","62.51",,"0.4","0","0.01","34.43999999999999","28.06","-29.36","28.070000000000007"
Medicamen Organics Ltd,MEDIORG,"Pharmaceuticals","78.9165","4.470000000000001","0.55","0","12.66","38.57000000000001",,"27.310000000000002","0","21.830000000000002","15.18","0.17000000000000007","-3.69","23.39000000000001"
Hariyana Ship Breakers Ltd,HRYNSHP,"Commodities Trading","78.717504255","134.41","10.57","123.61","23.1","262.99",,"111.42999999999999","0","118.63","141.79999999999998","0.2599999999999988","-48.24","121.19000000000004"
Kreon Finnancial Services Ltd,KREONFIN,"Consumer Finance","78.66358","-1.1600000000000001","21.19","10.34","29.18","63.38000000000001",,"22.400000000000002","0","1.32","32.879999999999995","29.18","-1.27","30.500000000000014"
Vadivarhe Speciality Chemicals Ltd,VSCL,"Specialty Chemicals","78.42217125","-12.25","0.52","0.05","26.18","41.62",,"18.01","0","15.790000000000001","6.489999999999998","18.869999999999997","2.26","35.129999999999995"
UMA Converter Ltd,UMA,"Packaging","78.0560011","28.860000000000003","1.71","0.24","73.41","164.06",,"96.26999999999998","0","57.86","68.22","34.56","-5.6","95.84"
Growington Ventures India Ltd,GROWINGTON,"Hotels, Resorts & Cruise Lines","78.02921484","2.46","0.48","0","2.98","29.939999999999998",,"29.11","0","11.370000000000001","18.58","0","-4.59","11.36"
Kranti Industries Ltd,KRANTI,"Auto Parts","77.9102112","14.84","0.11","0.08","40.98","91.47",,"32.9","0","28.57","35.87","26.979999999999997","-0.55","55.6"
Supreme Engineering Ltd,SUPREMEENG,"Iron & Steel","77.73445","-101.58","2.36","0.01","102.93","56.17",,"28.060000000000002","0","108.08000000000001","-66.22","14.319999999999997","8.61","122.39"
Anand Rayons Ltd,ARL,"Textiles","77.68079366399999","13.3","15.03","0.04","28.990000000000002","74.21000000000001",,"72.4","0","32.58","36.25","5.37","16.31","37.960000000000015"
Kalyan Capitals Ltd,KALYANCAP,"Investment Banking & Brokerage","77.61436918999999","19.799999999999997","2.28","7.57","125.07","182.41000000000003",,"6.83","0","128.94","52.949999999999996","0.519999999999996","6.69","129.46000000000004"
Siddhika Coatings Ltd,SIDDHIKA,"Construction & Engineering","77.60824","23.97","19.880000000000003","2.23","0","41.09",,"31.530000000000005","0.92","9.26","31.13","0","4.22","9.960000000000008"
Sheetal Universal Ltd,SHEETAL,"Agro Products","77.44255324","2.99","2.38","0.06","13.56","28.02",,"22.14","0","17.680000000000003","6.49","3.8600000000000003","-2.68","21.53"
Kavveri Telecom Products Ltd,KAVVERITEL,"Communication & Networking","77.39790396000001","-91.09","1.45","21.44","0","85.41",,"28.240000000000002","0","38.36999999999999","47.03","0","-11.34","38.379999999999995"
Warren Tea Ltd,WARRENTEA,"Agro Products","77.35755429199999","73.34","23.5","40.24","1.64","107.82000000000001",,"35.47","0","11.299999999999999","94.92","1.5399999999999998","0.29","12.900000000000007"
S V J Enterprises Ltd,SVJ,"Paper & Plastic Packaging Products & Materials","77.32548","1.6999999999999993","4.02","2.02","1.53","17.85",,"13.370000000000001","0","3.3","14.52","0","-6.26","3.330000000000002"
SM Auto Stamping Ltd,SMAUTO,"Automotive Parts & Equipment","77.26781163999999","5.7","0.03","12.38","5.52","33.73",,"11.69","0","13.350000000000001","19.39","0.19","4.91","14.339999999999995"
Rathi Bars Ltd,RATHIBAR,"Iron & Steel","77.20992789600001","59.730000000000004","0.49","0.08","66.56","178.69",,"133.43","0","70.14","93.92","9.919999999999995","12.34","84.77000000000001"
Odyssey Corporation Ltd,ODYCORP,"Investment Banking & Brokerage","77.1732378","10.020000000000003","0.06","4.7","1.85","73.41",,"62.24","0","2.24","70.87","0.30000000000000004","-0.75","2.539999999999986"
Motilal Oswal Midcap 100 ETF,MOM100,"Equity","77.05321196",,,,,,,,,,,,,
Elegant Marbles and Grani Industries Ltd,ELEMARB,"Building Products - Granite","77.038","126.47","3.72","98.49","0","134.7",,"31.05","1.21","4.46","129.43","0","-6.05","5.269999999999971"
Sanrhea Technical Textiles Ltd,SANTETX,,"77","10.09","1.6","0.05","6.99","32.419999999999995",,"24.869999999999997","0.43","14.030000000000001","16.79","0.7300000000000001","3.78","15.629999999999995"
Vishwas Agri Seeds Ltd,VISHWAS,"Seeds","77","7.33","0.23","0","18.78","53.519999999999996",,"38.06999999999999","0","29.669999999999998","14.33","9.350000000000001","6.1","39.19"
Riba Textiles Ltd,RIBATEX,"Textiles","76.82719232999999","71.49","4.77","0","67.67999999999999","179.09",,"82.63","0","61.98","89.38999999999999","25.38","20.03","89.7"
Bulkcorp International Ltd,BULKCORP,"Packaging","76.6434528","3.81","0.05","0","6.35","32.379999999999995",,"24.47","0","20.99","9.35","1.4900000000000002","1.23","23.029999999999998"
Divyashakti Ltd,DIVSHKT,"Building Products - Granite","76.45173715","113.43","9.39","0","4.23","143.26999999999998",,"117.61999999999999","2.05","16.8","123.7","0.010000000000000675","-1.53","19.569999999999965"
Rasandik Engineering Industries India Ltd,RASANDIK,"Auto Parts","76.091625","69.9","0.31","0","40.44","187.92000000000002",,"42.7","0","56.43000000000001","100.7","10.509999999999998","2.4","87.22000000000001"
Orient Beverages Ltd,ORIBEVER,"Soft Drinks","76.0848","14.71","6.96","2.24","67.46","122.72000000000001",,"73.18","0","86.33999999999999","18.32","14.299999999999997","15.44","104.40000000000003"
Satchmo Holdings Ltd,SATCH,"Real Estate Development","75.9785241","-1533.1599999999999","0.56","0","133.85999999999999","796.1600000000001",,"691.32","0","1869.52","-1074.7399999999998","0","33.52","1870.8999999999999"
Bheema Cements Ltd,BHEEMACEM,"Cement","75.94869465800001","91.08","1.29","0","178.03","308.56",,"10.510000000000002","0","179.82","123.69","0","-10.07","184.87"
Apoorva Leasing Finance and Investment Company Ltd,APOORVA,,"75.8846451","28.16000000000001","0.86","15.1","0.05","150.35000000000002",,"33.39","0","1.49","148.86","0","20.71","1.49"
Siti Networks Ltd,SITINET,"Cable & D2H","75.868684776","-2464.9","182.65","2.24","919.1800000000001","1410.33",,"548.1299999999999","0","2047.37","-728.6300000000001","14.279999999999923","181.14","2138.96"
Real Touch Finance Ltd,RTFL,"Diversified Financials","75.74997392","22.14","3.55","0.01","139.45","192.49999999999997",,"3.6599999999999997","0","11.24","41.83","139.45","-49.72","150.67"
Golden Tobacco Ltd,GOLDENTOBC,"FMCG - Tobacco","75.62980458999999","-274.88","3.3","1.19","2","148.61",,"15.299999999999999","0","352.54","-203.93","0","-0.15","352.54"
Tridhya Tech Ltd,TRIDHYA,"IT Services & Consulting","75.56956","3.289999999999999","2.1","6.65","38.41","91.38999999999999",,"26.77","0","14.229999999999999","46.919999999999995","28.96","-5.54","44.47"
MY Money Securities Ltd,MYMONEY,"Investment Banking & Brokerage","75.5509491","-0.53","5.9","2.95","1.78","20.31",,"16.06","0","3.0999999999999996","17.18","0.05000000000000005","0.88","3.1300000000000003"
Emerald Leisures Ltd,EMERALL,"Wellness Services","75.518527","-79.49","0.41","1.51","85.54","67.64",,"2.98","0","87.55","-42.089999999999996","10.760000000000002","5.58","109.73"
JFL Life Sciences Ltd,JFLLIFE,"Pharmaceuticals","75.44930526","8.929999999999998","0.03","0","5.69","56.629999999999995",,"43.129999999999995","0","19.98","35.58","0.9800000000000004","8.36","21.049999999999997"
Mehta Housing Finance Ltd,MEHTAHG,"Investment Banking & Brokerage","75.44736","-2.58","0.15","0.91","0","3.94",,"3.03","0","0.03","3.91","0","-0.05","0.03"
AccelerateBS India Ltd,ACCELERATE,"IT Consulting & Other Services","75.293952","0.25","2.23","0","0.54","4.859999999999999",,"4.38","0","0.14","3.91","0.54","-1.13","0.949999999999999"
